ticker,sector,approved,notes
NEM,Materials,TRUE,"Gold miner. Correlates with gold, not the market."
NFLX,Communication Services,TRUE,Cheap collateral after the 2026 fall. Check what changed.
NKE,Consumer Discretionary,TRUE,Brand strength but China and inventory risk.
NVDA,Technology,TRUE,Mega cap. High IV. ~21k collateral per contract.
NVO,Healthcare,TRUE,Denmark pharma ADR. Cheap collateral. GLP-1 competition.
NVS,Healthcare,TRUE,Swiss pharma ADR. Thin chain.
O,Real Estate,TRUE,Monthly dividend REIT. Rate sensitive.
ORCL,Technology,TRUE,Cloud transition. Debt load worth checking.
PANW,Technology,TRUE,~38k collateral. Very high multiple.
PEP,Consumer Staples,TRUE,Same caveat as KO. Do not hold both.
PFE,Healthcare,TRUE,Patent cliff and pipeline risk. Cheap entry point.
PG,Consumer Staples,TRUE,Low IV defensive. Will often fail gate 3.
PLTR,Technology,TRUE,"Very high IV. Rich premium, high assignment risk."
PM,Consumer Staples,TRUE,Tobacco. Same ethical screen as MO.
QCOM,Technology,TRUE,Handset concentration risk. Decent premium.
RTX,Industrials,TRUE,Defence. Government budget dependent.
RY,Financials,TRUE,Canadian ADR. Thin US options chain.
SAN,Financials,TRUE,"Spain bank ADR. Cheapest collateral on the list, thin chain."
SAP,Technology,TRUE,Germany ADR. Thin chain.
SBUX,Consumer Discretionary,TRUE,China exposure and labour costs.
SCCO,Materials,TRUE,"Copper miner. Overlaps FCX, do not hold both."
SCHW,Financials,TRUE,Brokerage. Rate and deposit flow sensitive.
SHEL,Energy,TRUE,UK oil ADR. Overlaps XOM and CVX.
SHOP,Technology,TRUE,"E-commerce platform. High IV, no earnings support."
SNDK,Technology,TRUE,"~153k collateral. Up 545 percent YTD, extreme volatility."
SO,Utilities,TRUE,"Utility. Very low IV, will rarely pass gate 3."
STX,Technology,TRUE,~77k collateral. Extreme 2026 move.
T,Communication Services,TRUE,"Low vol, steady dividend, low premium. Heavy debt load."
TD,Financials,TRUE,Canadian bank ADR. Thin chain.
TGT,Consumer Discretionary,TRUE,More volatile than WMT. Execution risk.
TM,Industrials,TRUE,Japan auto ADR. Thin chain. Overlaps GM and F.
TMO,Healthcare,TRUE,~64k collateral. Low IV.
TMUS,Communication Services,TRUE,Telco. Overlaps T and VZ.
TSLA,Consumer Discretionary,TRUE,Highest IV mega cap. ~36k collateral. Assignment risk is real.
TSM,Technology,TRUE,Taiwan ADR. ~41k collateral. Geopolitical tail risk.
TTE,Energy,TRUE,"France oil ADR. Overlaps XOM, CVX, SHEL."
TXN,Technology,TRUE,Analog semis. Less cyclical than MU.
UBS,Financials,TRUE,Swiss bank ADR. Thin chain.
UNH,Healthcare,TRUE,~38k collateral. Sector under pressure.
UNP,Industrials,TRUE,Rail. Freight volume proxy.
UPS,Industrials,TRUE,Volume sensitive to consumer spending.
V,Financials,TRUE,Very low IV historically. Will often fail gate 3.
VZ,Communication Services,TRUE,"Same profile as T. Do not hold both, it is one bet."
WDC,Technology,TRUE,"~41k collateral. Storage, same cycle as STX and SNDK."
WELL,Real Estate,TRUE,Healthcare REIT. Rate sensitive. Overlaps O.
WFC,Financials,TRUE,Regulatory history. Do not hold with BAC and JPM.
WMT,Consumer Staples,TRUE,Very low IV. Will often fail gate 3.
XOM,Energy,TRUE,"Do not hold alongside CVX, same bet."
